rule,error_or_warning,count
tailwindcss/no-custom-classname,error,42491
perfectionist/sort-jsx-props,error,30172
import/order,error,7768
perfectionist/sort-interfaces,error,2142
@typescript-eslint/consistent-type-imports,error,1875
perfectionist/sort-union-types,error,1829
perfectionist/sort-object-types,error,1575
@typescript-eslint/no-unnecessary-condition,warning,1427
tailwindcss/enforces-shorthand,warning,1246
@typescript-eslint/strict-boolean-expressions,warning,998
@typescript-eslint/no-unsafe-member-access,warning,668
@typescript-eslint/restrict-template-expressions,warning,615
perfectionist/sort-named-imports,error,579
security/detect-object-injection,warning,568
@next/next/no-img-element,error,548
react/no-unescaped-entities,error,532
@typescript-eslint/no-explicit-any,warning,499
react-hooks/set-state-in-effect,warning,498
max-lines-per-function,warning,462
@typescript-eslint/no-unsafe-assignment,warning,405
react-hooks/exhaustive-deps,error,358
@typescript-eslint/no-non-null-assertion,warning,308
perfectionist/sort-enums,error,304
@typescript-eslint/no-floating-promises,error,296
arrow-body-style,error,289
@typescript-eslint/require-await,error,270
promise/prefer-await-to-then,warning,259
import/no-cycle,error,258
@typescript-eslint/prefer-nullish-coalescing,warning,246
perfectionist/sort-switch-case,error,245
import/newline-after-import,error,209
sonarjs/no-duplicate-string,warning,194
@next/next/no-css-tags,warning,176
tailwindcss/no-unnecessary-arbitrary-value,warning,170
eqeqeq,error,168
@typescript-eslint/no-unsafe-argument,warning,166
@next/next/no-html-link-for-pages,error,159
@typescript-eslint/no-unsafe-call,warning,156
no-else-return,error,99
object-shorthand,error,91
prefer-destructuring,warning,86
promise/catch-or-return,error,83
@typescript-eslint/no-unsafe-return,warning,82
react-hooks/refs,warning,81
sonarjs/no-nested-conditional,warning,78
perfectionist/sort-intersection-types,error,73
no-nested-ternary,error,72
promise/prefer-await-to-callbacks,warning,72
@typescript-eslint/no-redundant-type-constituents,warning,68
sonarjs/cognitive-complexity,warning,63
@typescript-eslint/no-unnecessary-type-assertion,error,59
prefer-template,error,59
@typescript-eslint/use-unknown-in-catch-callback-variable,warning,49
@typescript-eslint/no-inferrable-types,error,43
no-console,error,36
no-useless-return,error,36
sonarjs/no-collapsible-if,warning,31
sonarjs/prefer-immediate-return,warning,30
@typescript-eslint/no-duplicate-type-constituents,error,29
prefer-const,error,29
sonarjs/no-redundant-jump,error,26
react-hooks/preserve-manual-memoization,warning,24
@typescript-eslint/prefer-optional-chain,error,23
default-case,error,22
@typescript-eslint/no-unnecessary-type-parameters,warning,20
@typescript-eslint/no-misused-promises,error,16
import/first,error,16
react-hooks/immutability,error,16
array-callback-return,error,15
sonarjs/no-ignored-return,error,14
no-param-reassign,error,13
react-hooks/rules-of-hooks,error,13
security/detect-unsafe-regex,error,12
promise/no-nesting,warning,11
react-compiler/react-compiler,warning,11
@typescript-eslint/await-thenable,error,10
@typescript-eslint/no-import-type-side-effects,error,10
max-params,warning,10
security/detect-non-literal-regexp,warning,10
unused-imports/no-unused-vars,error,10
yoda,error,10
import/no-useless-path-segments,error,8
max-depth,warning,8
sonarjs/prefer-single-boolean-return,warning,8
tailwindcss/no-contradicting-classname,error,7
no-alert,error,6
prefer-arrow-callback,error,6
react-hooks/error-boundaries,warning,5
no-unneeded-ternary,error,4
react-hooks/purity,warning,4
no-lonely-if,error,3
sonarjs/no-duplicated-branches,error,3
@typescript-eslint/consistent-type-exports,error,2
import/no-duplicates,error,2
perfectionist/sort-named-exports,error,1
promise/always-return,error,1
promise/no-multiple-resolved,error,1
promise/param-names,error,1
react-hooks/incompatible-library,warning,1
sonarjs/no-inverted-boolean-check,error,1
sonarjs/no-nested-switch,error,1
sonarjs/no-unused-collection,error,1
